2025-01-23 23:06:48,480 INFO    MainThread:2915301 [wandb_setup.py:_flush():68] Current SDK version is 0.19.4
2025-01-23 23:06:48,481 INFO    MainThread:2915301 [wandb_setup.py:_flush():68] Configure stats pid to 2915301
2025-01-23 23:06:48,481 INFO    MainThread:2915301 [wandb_setup.py:_flush():68] Loading settings from /home/hessos4l/.config/wandb/settings
2025-01-23 23:06:48,481 INFO    MainThread:2915301 [wandb_setup.py:_flush():68] Loading settings from /home/hessos4l/Downloads/DetectingVocoderFingerprints/src/training/wandb/settings
2025-01-23 23:06:48,481 INFO    MainThread:2915301 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-01-23 23:06:48,481 INFO    MainThread:2915301 [wandb_init.py:setup_run_log_directory():624] Logging user logs to /home/hessos4l/Downloads/DetectingVocoderFingerprints/src/training/wandb/run-20250123_230648-unblxxjl/logs/debug.log
2025-01-23 23:06:48,481 INFO    MainThread:2915301 [wandb_init.py:setup_run_log_directory():625] Logging internal logs to /home/hessos4l/Downloads/DetectingVocoderFingerprints/src/training/wandb/run-20250123_230648-unblxxjl/logs/debug-internal.log
2025-01-23 23:06:48,481 INFO    MainThread:2915301 [wandb_init.py:init():743] calling init triggers
2025-01-23 23:06:48,481 INFO    MainThread:2915301 [wandb_init.py:init():748] wandb.init called with sweep_config: {}
config: {'architecture': 'LCNN', 'dataset': 'WaveFake', 'classification_type': 'Multi_class', 'epochs': 100}
2025-01-23 23:06:48,481 INFO    MainThread:2915301 [wandb_init.py:init():776] starting backend
2025-01-23 23:06:48,720 INFO    MainThread:2915301 [wandb_init.py:init():780] sending inform_init request
2025-01-23 23:06:48,748 INFO    MainThread:2915301 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-01-23 23:06:48,749 INFO    MainThread:2915301 [wandb_init.py:init():795] backend started and connected
2025-01-23 23:06:48,753 INFO    MainThread:2915301 [wandb_init.py:init():888] updated telemetry
2025-01-23 23:06:48,754 INFO    MainThread:2915301 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-01-23 23:06:51,329 INFO    MainThread:2915301 [wandb_init.py:init():967] starting run threads in backend
2025-01-23 23:06:51,409 INFO    MainThread:2915301 [wandb_run.py:_console_start():2409] atexit reg
2025-01-23 23:06:51,409 INFO    MainThread:2915301 [wandb_run.py:_redirect():2259] redirect: wrap_raw
2025-01-23 23:06:51,409 INFO    MainThread:2915301 [wandb_run.py:_redirect():2324] Wrapping output streams.
2025-01-23 23:06:51,409 INFO    MainThread:2915301 [wandb_run.py:_redirect():2349] Redirects installed.
2025-01-23 23:06:51,411 INFO    MainThread:2915301 [wandb_init.py:init():1009] run started, returning control to user process
2025-01-23 23:10:53,988 WARNING MsgRouterThr:2915301 [router.py:message_loop():75] message_loop has been closed
